conv_layers,conv_layer_size,dense_layers,dense_layer_size,batch_size,epochs,optimizer,loss_function,accuracy,loss
1,25,1,5,64,1,adam,binary_crossentropy,0.7378,0.5429780200958252
1,25,1,5,64,2,adam,binary_crossentropy,0.7522,0.5053408767700195
1,25,1,5,64,3,adam,binary_crossentropy,0.7502,0.5134221961021423
1,25,1,5,64,4,adam,binary_crossentropy,0.7486,0.5310212011337281
1,25,1,5,64,5,adam,binary_crossentropy,0.758,0.4879336501121521
1,5,1,10,128,1,adam,binary_crossentropy,0.7464,0.5251466459274292
1,5,1,10,128,2,adam,binary_crossentropy,0.7528,0.5134827647209167
1,5,1,10,128,3,adam,binary_crossentropy,0.6834,0.5759970341682434
1,5,1,10,128,4,adam,binary_crossentropy,0.747,0.5106520677566528
1,5,1,10,128,5,adam,binary_crossentropy,0.7596,0.49963685626983645
1,5,1,10,32,1,adam,binary_crossentropy,0.7338,0.5314978507995606
1,5,1,10,32,2,adam,binary_crossentropy,0.7542,0.505447072315216
1,5,1,10,32,3,adam,binary_crossentropy,0.7676,0.4888324744224548
1,5,1,10,32,4,adam,binary_crossentropy,0.7616,0.4909656781196594
1,5,1,10,32,5,adam,binary_crossentropy,0.7604,0.49406021366119385
1,5,1,10,64,1,adam,binary_crossentropy,0.7132,0.5598390928268433
1,5,1,10,64,2,adam,binary_crossentropy,0.7524,0.5013019153594971
1,5,1,10,64,3,adam,binary_crossentropy,0.7528,0.5128724895477295
1,5,1,10,64,4,adam,binary_crossentropy,0.7552,0.5043117948532104
1,5,1,10,64,5,adam,binary_crossentropy,0.7586,0.4924607851982117
1,5,1,50,128,1,adam,binary_crossentropy,0.745,0.5255541599273682
1,5,1,50,128,2,adam,binary_crossentropy,0.7576,0.5008354267120362
1,5,1,50,128,3,adam,binary_crossentropy,0.7568,0.5003508410453796
1,5,1,50,128,4,adam,binary_crossentropy,0.7546,0.5041616939544677
1,5,1,50,128,5,adam,binary_crossentropy,0.7568,0.5025228370666504
1,5,1,50,32,1,adam,binary_crossentropy,0.7494,0.5088797348976135
1,5,1,50,32,2,adam,binary_crossentropy,0.743,0.5194007055282592
1,5,1,50,32,3,adam,binary_crossentropy,0.7562,0.4844224759101868
1,5,1,50,32,4,adam,binary_crossentropy,0.7664,0.48480000705718995
1,5,1,50,32,5,adam,binary_crossentropy,0.7784,0.46193542127609255
1,5,1,50,64,1,adam,binary_crossentropy,0.7218,0.5480805187225342
1,5,1,50,64,2,adam,binary_crossentropy,0.758,0.4945897141456604
1,5,1,50,64,3,adam,binary_crossentropy,0.7656,0.49652460737228393
