loss,accuracy,0 true,1 true,conv_layers,conv_nodes,dense_layers,dense_nodes,optimizer,loss_function,epoch,batch_size
0.469638,0.7724000215530396,1846,2016,2,10,2,32,adam,binary_crossentropy,10,128
0.076932,0.7771999835968018,1949,1937,2,10,2,32,adam,huber_loss,10,128
0.46537,0.7739999890327454,1856,2014,2,10,2,32,Nadam,binary_crossentropy,10,128
0.077771,0.7738000154495239,1942,1927,2,10,2,32,Nadam,huber_loss,10,128
0.463508,0.7781999707221985,1908,1983,2,10,2,32,adam,binary_crossentropy,10,64
0.077451,0.7692000269889832,1788,2058,2,10,2,32,adam,huber_loss,10,64
0.461506,0.7734000086784363,1949,1918,2,10,2,32,Nadam,binary_crossentropy,10,64
0.078467,0.7671999931335449,1807,2029,2,10,2,32,Nadam,huber_loss,10,64
0.465714,0.7712000012397766,1878,1978,2,10,2,64,adam,binary_crossentropy,10,128
0.074194,0.7806000113487244,1830,2073,2,10,2,64,adam,huber_loss,10,128
0.452845,0.7807999849319458,1992,1912,2,10,2,64,Nadam,binary_crossentropy,10,128
0.074821,0.7789999842643738,1926,1969,2,10,2,64,Nadam,huber_loss,10,128
0.452653,0.7900000214576721,1928,2022,2,10,2,64,adam,binary_crossentropy,10,64
0.07574,0.7771999835968018,1830,2056,2,10,2,64,adam,huber_loss,10,64
0.453337,0.7861999869346619,1919,2012,2,10,2,64,Nadam,binary_crossentropy,10,64
0.074385,0.784600019454956,1941,1982,2,10,2,64,Nadam,huber_loss,10,64
0.460245,0.7936000227928162,2042,1926,2,10,3,128,adam,binary_crossentropy,10,128
0.073114,0.7871999740600586,1922,2014,2,10,3,128,adam,huber_loss,10,128
0.446969,0.7975999712944031,1985,2003,2,10,3,128,Nadam,binary_crossentropy,10,128
0.072698,0.7973999977111816,2031,1956,2,10,3,128,Nadam,huber_loss,10,128
0.462584,0.7888000011444092,1834,2110,2,10,3,128,adam,binary_crossentropy,10,64
0.074691,0.7842000126838684,1977,1944,2,10,3,128,adam,huber_loss,10,64
0.471514,0.7937999963760376,1946,2023,2,10,3,128,Nadam,binary_crossentropy,10,64
0.073375,0.7914000153541565,1969,1988,2,10,3,128,Nadam,huber_loss,10,64
0.475718,0.775600016117096,1974,1904,2,10,3,32,adam,binary_crossentropy,10,128
0.082634,0.7599999904632568,1908,1892,2,10,3,32,adam,huber_loss,10,128
